Weekday_Num,Hour,CPU_Usage,Disk_Activity_KB
5,1,2.7,0.0
5,1,0.0,20.0
5,1,1.3,0.0
5,1,1.2,132.0
5,1,0.0,4.0
5,1,0.0,32.0
5,1,2.5,0.0
5,1,2.6,4.0
5,1,2.7,20.0
5,1,1.2,16.0
5,1,4.2,72.0
5,1,10.8,0.0
5,1,2.8,8.0
5,1,6.6,44.0
5,3,0.0,112.0
5,3,0.0,0.0
5,3,0.0,100.0
5,3,11.5,1244.0
5,3,1.6,936.0
5,3,1.4,76.0
5,3,0.0,28.0
5,3,0.0,264.0
5,3,8.6,48.0
5,3,7.5,16.0
5,3,16.4,660.0
5,3,0.0,132.0
5,3,3.9,44.0
5,3,0.0,96.0
5,3,3.7,332.0
5,3,0.0,120.0
5,3,0.0,0.0
5,3,0.0,100.0
5,3,5.3,4.0
5,3,6.2,88.0
5,3,6.1,68.0
5,3,7.8,0.0
5,3,0.0,0.0
5,3,0.0,12.0
5,3,1.4,0.0
5,3,0.0,56.0
5,3,1.2,0.0
5,3,0.0,100.0
5,3,0.0,12.0
5,3,3.8,52.0
5,3,0.0,136.0
5,3,1.3,0.0
5,3,6.3,156.0
5,3,0.0,72.0
5,3,1.1,44.0
5,3,0.0,112.0
5,3,3.5,56.0
5,3,0.0,20.0
5,3,2.7,68.0
5,3,4.9,52.0
5,3,0.0,52.0
5,3,0.0,80.0
5,3,0.0,64.0
5,3,3.7,0.0
5,3,8.9,72.0
5,3,0.0,0.0
5,3,0.0,16.0
5,3,2.7,0.0
5,3,0.0,16.0
5,3,2.8,88.0
5,3,5.3,92.0
5,3,4.7,0.0
5,3,7.8,376.0
5,3,2.5,260.0
5,3,2.7,4.0
5,3,1.3,20.0
5,3,9.5,0.0
5,3,12.7,1987.0
5,3,7.1,0.0
5,3,1.4,40.0
5,3,0.0,116.0
5,3,0.0,8.0
5,3,3.7,0.0
5,3,1.4,132.0
5,3,0.0,0.0
5,3,3.5,12.0
