Date,Time,Weekday,CPU_Usage,Disk_Activity_KB,Idle
2025-03-22,01:20:54,Saturday,2.7,0.0,1
2025-03-22,01:21:00,Saturday,0.0,20.0,1
2025-03-22,01:21:06,Saturday,1.3,0.0,1
2025-03-22,01:21:13,Saturday,1.2,132.0,1
2025-03-22,01:21:25,Saturday,0.0,4.0,1
2025-03-22,01:21:31,Saturday,0.0,32.0,1
2025-03-22,01:21:37,Saturday,2.5,0.0,1
2025-03-22,01:21:49,Saturday,2.6,4.0,1
2025-03-22,01:22:07,Saturday,2.7,20.0,1
2025-03-22,01:22:14,Saturday,1.2,16.0,1
2025-03-22,01:22:20,Saturday,4.2,72.0,1
2025-03-22,01:22:26,Saturday,10.8,0.0,1
2025-03-22,01:22:38,Saturday,2.8,8.0,1
2025-03-22,01:22:44,Saturday,6.6,44.0,1
2025-03-22,03:02:20,Saturday,0.0,112.0,0
2025-03-22,03:02:26,Saturday,0.0,0.0,0
2025-03-22,03:02:32,Saturday,0.0,100.0,0
2025-03-22,03:02:38,Saturday,11.5,1244.0,0
2025-03-22,03:02:44,Saturday,1.6,936.0,0
2025-03-22,03:02:50,Saturday,1.4,76.0,0
2025-03-22,03:02:56,Saturday,0.0,28.0,0
2025-03-22,03:03:02,Saturday,0.0,264.0,0
2025-03-22,03:03:08,Saturday,8.6,48.0,0
2025-03-22,03:03:15,Saturday,7.5,16.0,0
2025-03-22,03:03:21,Saturday,16.4,660.0,0
2025-03-22,03:03:27,Saturday,0.0,132.0,0
2025-03-22,03:03:33,Saturday,3.9,44.0,0
2025-03-22,03:03:39,Saturday,0.0,96.0,0
2025-03-22,03:03:45,Saturday,3.7,332.0,0
2025-03-22,03:03:51,Saturday,0.0,120.0,0
2025-03-22,03:03:57,Saturday,0.0,0.0,0
2025-03-22,03:04:03,Saturday,0.0,100.0,0
2025-03-22,03:04:09,Saturday,5.3,4.0,0
2025-03-22,03:04:16,Saturday,6.2,88.0,0
2025-03-22,03:04:22,Saturday,6.1,68.0,0
2025-03-22,03:04:28,Saturday,7.8,0.0,0
2025-03-22,03:04:34,Saturday,0.0,0.0,0
2025-03-22,03:04:40,Saturday,0.0,12.0,0
2025-03-22,03:04:46,Saturday,1.4,0.0,0
2025-03-22,03:04:52,Saturday,0.0,56.0,0
2025-03-22,03:04:58,Saturday,1.2,0.0,0
2025-03-22,03:05:04,Saturday,0.0,100.0,0
2025-03-22,03:05:11,Saturday,0.0,12.0,0
2025-03-22,03:05:17,Saturday,3.8,52.0,0
2025-03-22,03:05:23,Saturday,0.0,136.0,0
2025-03-22,03:05:29,Saturday,1.3,0.0,0
2025-03-22,03:05:35,Saturday,6.3,156.0,0
2025-03-22,03:05:41,Saturday,0.0,72.0,0
2025-03-22,03:05:47,Saturday,1.1,44.0,0
2025-03-22,03:05:53,Saturday,0.0,112.0,0
2025-03-22,03:05:59,Saturday,3.5,56.0,0
2025-03-22,03:06:06,Saturday,0.0,20.0,0
2025-03-22,03:06:12,Saturday,2.7,68.0,0
2025-03-22,03:06:18,Saturday,4.9,52.0,0
2025-03-22,03:06:24,Saturday,0.0,52.0,0
2025-03-22,03:06:30,Saturday,0.0,80.0,0
2025-03-22,03:06:36,Saturday,0.0,64.0,0
2025-03-22,03:06:42,Saturday,3.7,0.0,0
2025-03-22,03:06:48,Saturday,8.9,72.0,0
2025-03-22,03:06:54,Saturday,0.0,0.0,0
2025-03-22,03:07:00,Saturday,0.0,16.0,0
2025-03-22,03:07:07,Saturday,2.7,0.0,0
2025-03-22,03:07:13,Saturday,0.0,16.0,0
2025-03-22,03:07:19,Saturday,2.8,88.0,0
2025-03-22,03:07:25,Saturday,5.3,92.0,0
2025-03-22,03:07:31,Saturday,4.7,0.0,0
2025-03-22,03:07:40,Saturday,7.8,376.0,0
2025-03-22,03:07:46,Saturday,2.5,260.0,0
2025-03-22,03:07:52,Saturday,2.7,4.0,0
2025-03-22,03:07:58,Saturday,1.3,20.0,0
2025-03-22,03:08:04,Saturday,9.5,0.0,0
