Date,Time,Weekday,CPU_Usage,Disk_Activity_KB,Idle
2025-03-24,21:51:10,Monday,10.4,484.0,0
2025-03-24,21:51:17,Monday,1.2,84.0,0
2025-03-24,21:51:24,Monday,1.5,32.0,0
2025-03-24,21:51:31,Monday,8.2,444.0,0
2025-03-24,21:51:38,Monday,9.5,36.0,0
2025-03-24,21:51:45,Monday,2.8,64.0,0
2025-03-24,21:51:52,Monday,6.8,384.0,0
2025-03-24,21:51:59,Monday,4.5,132.0,0
2025-03-24,21:52:06,Monday,4.4,204.0,0
2025-03-24,21:52:13,Monday,13.0,136.0,0
2025-03-24,21:52:20,Monday,10.2,296.0,0
2025-03-24,21:52:27,Monday,11.9,104.0,0
2025-03-24,21:52:34,Monday,15.5,128.0,0
2025-03-24,21:52:41,Monday,9.3,0.0,0
2025-03-24,21:52:48,Monday,11.2,0.0,0
2025-03-24,21:52:55,Monday,14.5,96.0,0
2025-03-24,21:53:02,Monday,18.8,32.0,0
2025-03-24,21:53:09,Monday,13.0,308.0,0
2025-03-24,21:53:16,Monday,18.3,24.0,0
2025-03-24,21:53:23,Monday,12.5,100.0,0
2025-03-24,21:53:30,Monday,17.1,44.0,0
2025-03-24,21:53:34,Monday,17.5,812.0,0
2025-03-24,21:53:41,Monday,10.9,72.0,0
2025-03-24,21:53:48,Monday,11.2,32.0,0
2025-03-24,21:53:55,Monday,10.9,100.0,0
2025-03-24,21:54:02,Monday,11.1,12.0,0
2025-03-24,21:54:18,Monday,21.0,3886.5,0
2025-03-24,21:54:25,Monday,3.8,64.0,0
2025-03-24,21:54:32,Monday,3.6,68.0,0
2025-03-24,21:54:39,Monday,10.5,184.0,0
2025-03-24,21:54:46,Monday,1.1,0.0,0
2025-03-24,21:54:53,Monday,6.1,104.0,0
2025-03-24,21:55:00,Monday,2.9,0.0,0
2025-03-24,21:55:07,Monday,1.0,0.0,0
2025-03-24,21:55:14,Monday,2.7,44.0,0
2025-03-24,21:55:21,Monday,5.2,140.0,0
2025-03-24,21:55:28,Monday,0.6,0.0,0
2025-03-24,21:55:35,Monday,5.6,32.0,0
2025-03-24,21:55:42,Monday,13.3,12.0,0
2025-03-24,21:55:49,Monday,18.1,104.0,0
